Wall time,Step,Value
1741857087.5602407,269500,-30211.29296875
1741857127.4130352,270500,-10988.5927734375
1741857207.1509757,272500,-24528.2578125
1741857247.444979,273500,-26536.45703125
1741857327.4579258,275500,-21045.97265625
1741857367.280208,276500,-11056.9375
1741857446.4501877,278500,-14042.1025390625
1741857567.1318927,281500,-15214.6904296875
1741857607.2567532,282500,-5159.53271484375
1741857687.8984182,284500,-12035.4130859375
1741857788.9891307,287000,-15309.494140625
1741858006.932502,292500,-14007.1630859375
1741858027.542592,293000,-2788.001953125
1741858087.2325404,294500,-14698.8818359375
1741858127.280679,295500,-14209.314453125
1741858147.779408,296000,-22172.88671875
1741858207.0579896,297500,-33219.8671875
1741858247.1679983,298500,-6458.2919921875
1741858386.7777057,302000,-10156.9248046875
1741858487.2259939,304500,-5154.25341796875
1741858586.6823406,307000,-13596.9833984375
1741858607.5114007,307500,-7703.576171875
1741858767.809264,311500,-10603.2919921875
1741858786.9542804,312000,-15376.154296875
1741858847.1958833,313500,-5976.33642578125
1741858887.297366,314500,-8179.34521484375
1741858906.9029348,315000,-7095.60888671875
1741858985.8083742,317000,-5424.564453125
1741859065.5240073,319000,-21060.541015625
1741859187.1728663,322000,-12013.876953125
1741859206.690059,322500,-22171.326171875
1741859308.6937525,325000,-20447.494140625
1741859348.9159229,326000,-11324.6669921875
1741859429.4496284,328000,-17583.591796875
1741859489.584371,329500,-10302.2568359375
1741859529.7248843,330500,-9883.16015625
1741859671.9933116,334000,-9036.310546875
1741859732.3335402,335500,-16619.646484375
1741859834.6541357,338000,-15068.10546875
1741859854.3766127,338500,-10915.51171875
1741859935.2919588,340500,-5217.21826171875
1741860016.6616123,342500,-11088.357421875
1741860178.3835893,346500,-17265.091796875
1741860218.3178558,347500,-9663.5078125
1741860258.7721684,348500,-7917.7626953125
1741860278.7934384,349000,-9182.451171875
1741860380.8949342,351500,-15324.455078125
1741860542.5678742,355500,-4720.703125
1741860643.2716033,358000,-5683.57080078125
1741860765.020766,361000,-12978.306640625
1741860805.817724,362000,-16187.8193359375
1741860846.6964178,363000,-7843.49365234375
1741860866.3639815,363500,-15738.64453125
1741860906.806117,364500,-15084.7138671875
1741860927.569311,365000,-15183.1953125
1741860968.306923,366000,-2592.3076171875
1741860988.1619565,366500,-8327.6826171875
1741861009.1224923,367000,-664.3881225585938
1741861111.0198312,369500,-14354.107421875
1741861233.0602639,372500,-10693.978515625
1741861639.249686,382500,-12851.138671875
1741861660.1503677,383000,-9463.0341796875
1741861800.8192904,386500,-16757.314453125
1741861861.2291527,388000,-7884.04931640625
1741861882.3152354,388500,-17711.162109375
1741861922.778287,389500,-14019.0244140625
1741861962.672654,390500,-7426.638671875
1741862003.4605243,391500,-12092.8173828125
1741862125.4996798,394500,-10894.189453125
1741862450.7362,402500,-59239.4375
1741862470.3579195,403000,-11185.609375
1741862510.872406,404000,-4705.69921875
1741862570.8865318,405500,-5177.97607421875
1741862732.8315883,409500,-12488.544921875
1741862753.4114237,410000,-19025.423828125
1741862935.459284,414500,-6330.66259765625
1741863017.257771,416500,-21473.498046875
1741863038.707699,417000,-10628.638671875
1741863079.6116533,418000,-17272.2265625
1741863099.4145644,418500,-1423.3243408203125
1741863161.5893664,420000,-23038.080078125
1741863181.483113,420500,-10729.21484375
1741863242.5961576,422000,-32045.1328125
1741863282.490319,423000,-6549.19140625
1741863404.2675927,426000,-12151.5341796875
1741863524.99952,429000,-13552.4453125
1741863586.9264865,430500,12.868260383605957
1741863627.4993002,431500,-15730.75390625
1741863709.0168233,433500,-10992.6162109375
1741863790.0209823,435500,-4878.16015625
1741863809.9468672,436000,-19300.056640625
1741864074.557353,442500,-7322.8486328125
1741864115.5805185,443500,-19744.7734375
1741864238.0917916,446500,-15257.533203125
1741864298.5942593,448000,-11242.181640625
1741864338.7655036,449000,-9345.208984375
1741864420.1036696,451000,-12398.7255859375
1741864439.7530615,451500,-4905.296875
1741864562.065684,454500,-13513.5263671875
1741864603.2132108,455500,-22501.322265625
1741864766.4180992,459500,-11005.7783203125
1741864828.6004713,461000,-23939.0546875
1741864970.2050104,464500,-7187.24072265625
